Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Nigeria,2023-02-22 00:20:57,9.082,8.6753,266463,3155,,,129.2633811282449,,,1.1840293023796924,566,NGA,0,0
North Macedonia,2023-02-22 00:20:57,41.6086,21.7453,346733,9653,,,16642.811201029097,,,2.783986525655187,807,MKD,436,20
Norway,2023-02-22 00:20:57,60.472,8.4689,1478672,5175,,,27275.52099684906,,,0.3499761948559248,578,NOR,1226,139
Oman,2023-02-22 00:20:57,21.512583,55.923255,399449,4628,,,7822.176773608855,,,1.158595965943087,512,OMN,295,0
Pakistan,2023-02-22 00:20:57,30.3753,69.3451,1576736,30641,,,713.8029613169323,,,1.9433183487914276,586,PAK,548,1
Palau,2023-02-22 00:20:57,7.515,134.5825,5988,9,,,33251.88804975567,,,0.1503006012024048,585,PLW,2,0
Panama,2023-02-22 00:20:57,8.538,-80.7821,1030658,8600,,,23886.75358675136,,,0.834418400672192,591,PAN,1597,6
Papua New Guinea,2023-02-22 00:20:57,-6.314993,143.95555,46792,670,,,522.9893684237234,,,1.431868695503505,598,PNG,129,1
Paraguay,2023-02-22 00:20:57,-23.4425,-58.4438,807453,19849,,,11320.70948176874,,,2.4582235746229197,600,PRY,1967,71
Peru,2023-02-22 00:20:57,-9.19,-75.0152,4484810,219351,,,13601.937847216685,,,4.890976429324765,604,PER,5735,695
Philippines,2023-02-22 00:20:57,12.879721,121.774017,4075611,66039,,,3719.265053818367,,,1.6203460045622606,608,PHL,3510,314
Poland,2023-02-22 00:20:57,51.9194,19.1451,6404036,118833,,,16921.031622255152,,,1.8555954401255708,616,POL,25083,145
Portugal,2023-02-22 00:20:57,39.3999,-8.2245,5566708,26117,,,54593.19366536667,,,0.4691641810563802,620,PRT,4494,175
Qatar,2023-02-22 00:20:57,25.3548,51.1839,493560,686,,,17131.194768592115,,,0.1389901936947888,634,QAT,1447,0
Romania,2023-02-22 00:20:57,45.9432,24.9668,3335131,67675,,,17336.44937056346,,,2.029155676343748,642,ROU,12483,133
Russia,2023-02-22 00:20:57,61.524,105.3188,21878868,387899,,,14992.256112778296,,,1.772939075275741,643,RUS,277688,1072
Rwanda,2023-02-22 00:20:57,-1.9403,29.8739,133170,1468,,,1028.164384932331,,,1.1023503792145375,646,RWA,92,0
Saint Kitts and Nevis,2023-02-22 00:20:57,17.357822,-62.782998,6596,46,,,12400.360956534818,,,0.6973923590054578,659,KNA,11,0
Saint Lucia,2023-02-22 00:20:57,13.9094,-60.9789,29882,409,,,16273.02876996553,,,1.368716953349843,662,LCA,121,0
Saint Vincent and the Grenadines,2023-02-22 00:20:57,12.9843,-61.2872,9589,123,,,8642.86551236176,,,1.2827197830847847,670,VCT,17,0
Samoa,2023-02-22 00:20:57,-13.759,-172.1046,16594,29,,,8460.714831999185,,,0.1747619621549958,882,WSM,572,0
San Marino,2023-02-22 00:20:57,43.9424,12.4578,23521,122,,,69305.79291649479,,,0.5186854300412398,674,SMR,151,0
Sao Tome and Principe,2023-02-22 00:20:57,0.1864,6.6131,6280,77,,,2865.4733278274875,,,1.2261146496815287,678,STP,1,0
Saudi Arabia,2023-02-22 00:20:57,23.885942,45.079162,829041,9606,,,2381.352809786973,,,1.1586881710313484,682,SAU,1325,45
Senegal,2023-02-22 00:20:57,14.4974,-14.4524,88910,1971,,,530.9983976282748,,,2.216848498481611,686,SEN,10,3
Serbia,2023-02-22 00:20:57,44.0165,21.0059,2486920,17783,,,28463.027203838225,,,0.7150612001994435,688,SRB,20186,119
Seychelles,2023-02-22 00:20:57,-4.6796,55.492,50665,172,,,51520.23591620907,,,0.3394848514753775,690,SYC,310,0
Sierra Leone,2023-02-22 00:20:57,8.460555,-11.779889,7760,126,,,97.27986200299988,,,1.6237113402061856,694,SLE,0,0
Singapore,2023-02-22 00:20:57,1.2833,103.8333,2222006,1722,,,37980.78163964061,,,0.0774975405106916,702,SGP,7694,2
Slovakia,2023-02-22 00:20:57,48.669,19.699,2663896,21003,,,49016.32322007128,,,0.7884316805160562,703,SVK,3725,88
Slovenia,2023-02-22 00:20:57,46.1512,14.9955,1326046,7067,,,63784.96266352146,,,0.5329377713895295,705,SVN,5963,20
Solomon Islands,2023-02-22 00:20:57,-9.6457,160.1562,24575,153,,,3764.218252667502,,,0.6225839267548321,90,SLB,0,0
Somalia,2023-02-22 00:20:57,5.152149,46.199616,27324,1361,,,171.9223777134135,,,4.980969111403894,706,SOM,6,0
South Africa,2023-02-22 00:20:57,-30.5595,22.9375,4061085,102595,,,6847.369247238474,,,2.526295312705841,710,ZAF,6818,7
